name,numpy
"tf.signal.irfft","numpy.fft.irfft"
"tf.signal.irfft2d","numpy.fft.irfft2"
"tf.signal.irfft3d","numpy.fft.irfftn"
"tf.signal.linear_to_mel_weight_matrix",""
"tf.signal.mfccs_from_log_mel_spectrograms",""
"tf.signal.overlap_and_add",""
"tf.signal.rfft","numpy.fft.rfft"
"tf.signal.rfft2d","numpy.fft.rfft2"
"tf.signal.rfft3d","numpy.fft.rfftn"
"tf.signal.stft",""
"tf.slice",""
"tf.sort","numpy.sort"
"tf.space_to_batch",""
"tf.space_to_batch_nd",""
"tf.sparse.SparseTensor",""
"tf.sparse.add",""
"tf.sparse.concat",""
"tf.sparse.cross",""
"tf.sparse.cross_hashed",""
"tf.sparse.expand_dims",""
"tf.sparse.eye",""
"tf.sparse.fill_empty_rows",""
"tf.sparse.from_dense",""
"tf.sparse.mask",""
"tf.sparse.maximum",""
"tf.sparse.minimum",""
"tf.sparse.reduce_max",""
"tf.sparse.reduce_sum",""
"tf.sparse.reorder",""
"tf.sparse.reset_shape",""
"tf.sparse.reshape",""
"tf.sparse.retain",""
"tf.sparse.segment_mean",""
"tf.sparse.segment_sqrt_n",""
"tf.sparse.segment_sum",""
"tf.sparse.slice",""
"tf.sparse.softmax",""
"tf.sparse.sparse_dense_matmul",""
"tf.sparse.split",""
"tf.sparse.to_dense",""
"tf.sparse.to_indicator",""
"tf.sparse.transpose",""
"tf.split","numpy.split"
"tf.squeeze","numpy.squeeze"
"tf.stack","numpy.stack"
"tf.stop_gradient",""
"tf.strided_slice",""
"tf.strings.as_string",""
"tf.strings.bytes_split",""
"tf.strings.format",""
"tf.strings.join","numpy.char.add"
"tf.strings.ngrams",""
"tf.strings.reduce_join",""
"tf.strings.regex_full_match",""
"tf.strings.regex_replace",""
"tf.strings.split","numpy.char.split"
"tf.strings.strip","numpy.char.strip"
"tf.strings.substr",""
"tf.strings.to_hash_bucket",""
"tf.strings.to_hash_bucket_fast",""
"tf.strings.to_hash_bucket_strong",""
"tf.strings.to_number",""
"tf.strings.unicode_decode","numpy.char.decode"
"tf.strings.unicode_decode_with_offsets",""
"tf.strings.unicode_encode","numpy.char.encode"
"tf.strings.unicode_script",""
"tf.strings.unicode_split",""
"tf.strings.unicode_split_with_offsets",""
"tf.strings.unicode_transcode",""
"tf.strings.unsorted_segment_join",""
"tf.switch_case",""
"tf.tensor_scatter_nd_add",""
"tf.tensor_scatter_nd_sub",""
"tf.tensor_scatter_nd_update",""
"tf.tensordot","numpy.tensordot"
"tf.tile","numpy.tile"
"tf.timestamp",""
"tf.transpose","numpy.transpose"
"tf.truncatediv","numpy.trunc"
"tf.truncatemod",""
"tf.tuple",""
"tf.unique","numpy.unique"
"tf.unique_with_counts",""
"tf.unravel_index","numpy.unravel_index"
"tf.unstack",""
"tf.variable_creator_scope",""
"tf.vectorized_map",""
"tf.where","numpy.where"
"tf.while_loop",""
"tf.zeros","numpy.zeros"
"tf.zeros_initializer",""
"tf.zeros_like","numpy.zeros_like"
